Specialty_Dist_Rep,Common_Grp_Id,Common_Grp_Desc,Common_Entity_Id,Common_Entity_Desc,Customer_No,Customer_Name,Active_Status,Primary_Secondary,Cmpny_Cd,Sales_Org,Dea_Number,Address,City,State,ZIP,Acc_340B_Id,Mpb_Account_Class_Desc,Mck_Account_Class_Desc
BENNETT CORLEY,21230,CHRISTUS,2062,CHRISTUS HEALTH LA,122,CHRISTUS SPEC PHY PHS MPB,Active,SECONDARY,8545,8000|8545,FC0264224,800 E DAWSON ST STE 100,TYLER,TX,75701,DSH450102,PHS,PHS/340B Acct
BENNETT CORLEY,40112,CARLE FOUNDATION HOSP IL,40112,CARLE FOUNDATION HOSP IL,767247,METHODIST MC IL PHS MPB,Active,SECONDARY,8545,8000|8545,AM3582269,221 NE GLEN OAK STREET,PEORIA,IL,61636,DSH140209,PHS,PHS/340B Acct
BENNETT CORLEY,40112,CARLE FOUNDATION HOSP IL,40112,CARLE FOUNDATION HOSP IL,767248,METHDST MC IL WACA34 MPB,Active,SECONDARY,8545,8000|8545,AM3582269,221 N.E. GLEN OAK ST,PEORIA,IL,61636,DSH140209,WAC,WAC Acct.
MARY BERRESFORD,1106,BRONSON METHODIST MI,1106,BRONSON METHODIST MI,767289,BRNSN BTLE CK OP PHS MPB,Active,SECONDARY,8545,8000|8545,FB3506435,"363 FREMONT ST, STE 111",BATTLE CREEK,MI,49017,DSH230075,PHS,PHS/340B Acct
MARY BERRESFORD,72020,ASPIRUS,72020,ASPIRUS,767299,ASPIRUS WAUSAU HP GPO MPB,Active,SECONDARY,8545,8000|8545,AW8619934,333 PINE RIDGE BLVD,WAUSAU,WI,54401,0,GPO,GPO Acct.
MARY BERRESFORD,1468,NEBRASKA MED CTR OMAHA,1468,NEBRASKA MED CTR OMAHA,767300,WALG#15443/NE MC PHS MPB,Active,SECONDARY,8545,8000,BI9716587,"10530 JOHN W. ELLIOTT DR, STE 100",FRISCO,TX,75033,DSH280013,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72192,COOK CHILDRENS MED CTR TX,72192,COOK CHILDRENS MED CTR TX,767308,COOK CHILD MC WA34 MPB,Active,SECONDARY,8545,8000|8545,AF2232116,801 SEVENTH AVENUE,FORT WORTH,TX,76104,PED453300-17,WAC,WAC Acct.
BENNETT CORLEY,72480,MD ISSUE,72130,CHILDRENS MED CTR TX,767333,CMC DLS FRST PHCY PHS MPB,Active,SECONDARY,8545,8000|8545,BC6488046,"1935 MEDICAL DISTRICT DR, B1 215",DALLAS,TX,75235,PED453302-00,PHS,PHS/340B Acct
BENNETT CORLEY,2062,CHRISTUS HEALTH LA,2062,CHRISTUS HEALTH LA,769142,CAREMARK IL SP/CSFCH  PHS,Active,SECONDARY,8545,8000|8545,FC0059736,800 BIERMANN CT STE B,MOUNT PROSPECT,IL,60056,DSH190019,PHS,PHS Contract Pharmacy
BENNETT CORLEY,2062,CHRISTUS HEALTH LA,2062,CHRISTUS HEALTH LA,769154,CAREMARK KS SPC/CHOSA PHS,Active,SECONDARY,8545,8000|8545,BL7438941,11162 RENNER BLVD,LENEXA,KS,66219,PED453315-00,PHS,PHS Contract Pharmacy
BENNETT CORLEY,2062,CHRISTUS HEALTH LA,2062,CHRISTUS HEALTH LA,769160,CVS CRMRK2921/CHOSA   PHS,Active,SECONDARY,8545,8000|8545,BS6907224,105 MALL BLVD,MONROEVILLE,PA,15146,PED453315-00,PHS,PHS Contract Pharmacy
MARY BERRESFORD,1607,UCI MEDICAL CENTER CA,1607,UCI MEDICAL CENTER CA,769203,ADV CR SCRIPT/UCA IRV PHS,Active,SECONDARY,8545,8000|8545,BA9369263,6251 CHANCELLOR DR 101,ORLANDO,FL,32809,DSH050348,PHS,PHS Contract Pharmacy
BENNETT CORLEY,902,GEISINGER MEDICAL CENTER PA,902,GEISINGER MEDICAL CENTER PA,769418,CAREMARK KS SPC/GEIWY PHS,Active,SECONDARY,8545,8000|8545,BL7438941,11162 RENNER BLVD,LENEXA,KS,66219,DSH390270,PHS,PHS Contract Pharmacy
BENNETT CORLEY,902,GEISINGER MEDICAL CENTER PA,902,GEISINGER MEDICAL CENTER PA,769421,CAREMARK NJ SPC/GEIWY PHS,Active,SECONDARY,8545,8000|8545,FC0275304,180 PASSAIC AVE,FAIRFIELD,NJ,7004,DSH390270,PHS,PHS Contract Pharmacy
BENNETT CORLEY,902,GEISINGER MEDICAL CENTER PA,902,GEISINGER MEDICAL CENTER PA,769423,CAREMARK NC SPC/GEIWY PHS,Active,SECONDARY,8545,8000|8545,FC1404918,10700 WORLD TRADE BLV 110,RALEIGH,NC,27617,DSH390270,PHS,PHS Contract Pharmacy
BENNETT CORLEY,902,GEISINGER MEDICAL CENTER PA,902,GEISINGER MEDICAL CENTER PA,769426,CAREMARK IL SPC/GEIWY PHS,Active,SECONDARY,8545,8000|8545,FC0059736,800 BIERMANN CT STE B,MOUNT PROSPECT,IL,60056,DSH390270,PHS,PHS Contract Pharmacy
BENNETT CORLEY,902,GEISINGER MEDICAL CENTER PA,902,GEISINGER MEDICAL CENTER PA,769427,CVS CRMRK2921/GEISIWY PHS,Active,SECONDARY,8545,8000|8545,BS6907224,105 MALL BLVD,MONROEVILLE,PA,15146,DSH390270,PHS,PHS Contract Pharmacy
BENNETT CORLEY,2062,CHRISTUS HEALTH LA,2062,CHRISTUS HEALTH LA,769518,CAREMARK KS SPC/CHRSM PHS,Active,SECONDARY,8545,8000|8545,BL7438941,11162 RENNER BLVD,LENEXA,KS,66219,DSH450801,PHS,PHS Contract Pharmacy
BENNETT CORLEY,2062,CHRISTUS HEALTH LA,2062,CHRISTUS HEALTH LA,769521,CAREMARK TN SPC/CHRSM PHS,Active,SECONDARY,8545,8000|8545,BC9505960,8370 WOLF LAKE DR STE 107,BARTLETT,TN,38133,DSH450801,PHS,PHS Contract Pharmacy
BENNETT CORLEY,2062,CHRISTUS HEALTH LA,2062,CHRISTUS HEALTH LA,769522,CVS CRMRK2921/CHRISSM PHS,Active,SECONDARY,8545,8000|8545,BS6907224,105 MALL BLVD,MONROEVILLE,PA,15146,DSH450801,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72859,OREGON HLTH SCIENCE CTR,72859,OREGON HLTH SCIENCE CTR,769975,CAREMARK KS SP/OR HSU PHS,Active,SECONDARY,8545,8000|8545,BL7438941,11162 RENNER BLVD,LENEXA,KS,66219,DSH380009,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72859,OREGON HLTH SCIENCE CTR,72859,OREGON HLTH SCIENCE CTR,769977,CAREMARK CA SP/OR HSU PHS,Active,SECONDARY,8545,8000|8545,BC3683580,1127 BRYN MAWR AVE STE A,REDLANDS,CA,92374,DSH380009,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72859,OREGON HLTH SCIENCE CTR,72859,OREGON HLTH SCIENCE CTR,769979,CAREMARK NJ SP/OR HSU PHS,Active,SECONDARY,8545,8000|8545,FC0275304,180 PASSAIC AVE,FAIRFIELD,NJ,7004,DSH380009,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72859,OREGON HLTH SCIENCE CTR,72859,OREGON HLTH SCIENCE CTR,769981,CAREMARK IL SP/OR HSU PHS,Active,SECONDARY,8545,8000|8545,FC0059736,800 BIERMANN CT STE B,MOUNT PROSPECT,IL,60056,DSH380009,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72859,OREGON HLTH SCIENCE CTR,72859,OREGON HLTH SCIENCE CTR,769982,CVS CAREMRK2921/ORHSU PHS,Active,SECONDARY,8545,8000|8545,BS6907224,105 MALL BOULEVARD,MONROEVILLE,PA,15146,DSH380009,PHS,PHS Contract Pharmacy
BENNETT CORLEY,1830,NEW YORK PRESBYTERIAN HOSP NY,1830,NEW YORK PRESBYTERIAN HOSP NY,770001,CAREPLUS CVS2919/NYPH PHS,Active,SECONDARY,8545,8000|8545,BC7000603,126 EIGHTH AVE,NEW YORK,NY,10011,DSH330101,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72952,PROVIDENCE HOSP NW,72954,PROVIDENCE HLTH SYS WA,770129,CAREMARK CA SPC/PHRMH PHS,Active,SECONDARY,8545,8000|8545,BC3683580,1127 BRYN MAWR AVE STE A,REDLANDS,CA,92374,CAH381318-00,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72952,PROVIDENCE HOSP NW,72954,PROVIDENCE HLTH SYS WA,770135,CAREMARK NJ SPC/PHRMH PHS,Active,SECONDARY,8545,8000|8545,FC0275304,180 PASSAIC AVE,FAIRFIELD,NJ,7004,CAH381318-00,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72952,PROVIDENCE HOSP NW,72954,PROVIDENCE HLTH SYS WA,770142,CAREMARK KS SPC/PSVMC PHS,Active,SECONDARY,8545,8000|8545,BL7438941,11162 RENNER BLVD,LENEXA,KS,66219,DSH380004,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72952,PROVIDENCE HOSP NW,72954,PROVIDENCE HLTH SYS WA,770144,CAREMARK CA SPC/PSVMC PHS,Active,SECONDARY,8545,8000|8545,BC3683580,1127 BRYN MAWR AVE STE A,REDLANDS,CA,92374,DSH380004,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72952,PROVIDENCE HOSP NW,72954,PROVIDENCE HLTH SYS WA,770153,CAREMARK IL SPC/PSVMC PHS,Active,SECONDARY,8545,8000|8545,FC0059736,800 BIERMANN CT STE B,MOUNT PROSPECT,IL,60056,DSH380004,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72952,PROVIDENCE HOSP NW,72954,PROVIDENCE HLTH SYS WA,770157,CVS CRMRK2921/PSVMC PHS,Active,SECONDARY,8545,8000|8545,BS6907224,105 MALL BLVD,MONROEVILLE,PA,15146,DSH380004,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72952,PROVIDENCE HOSP NW,72954,PROVIDENCE HLTH SYS WA,770237,CAREMARK CA SPC/STJUD PHS,Active,SECONDARY,8545,8000|8545,BC3683580,1127 BRYN MAWR AVE STE A,REDLANDS,CA,92374,DSH050168,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72952,PROVIDENCE HOSP NW,72954,PROVIDENCE HLTH SYS WA,770238,CAREMARK IL SPC/STJUD PHS,Active,SECONDARY,8545,8000|8545,FC0059736,800 BIERMANN CT STE B,MOUNT PROSPECT,IL,60056,DSH050168,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72952,PROVIDENCE HOSP NW,72954,PROVIDENCE HLTH SYS WA,770244,CVS CRMRK2921/ST JUDE PHS,Active,SECONDARY,8545,8000|8545,BS6907224,105 MALL BLVD,MONROEVILLE,PA,15146,DSH050168,PHS,PHS Contract Pharmacy
BENNETT CORLEY,922,CARLE FOUNDATION HOSP IL (PHS),922,CARLE FOUNDATION HOSP IL (PHS),770464,CAREMARK IL SPC/CARLE PHS,Active,SECONDARY,8545,8000|8545,FC0059736,800 BIERMANN CT STE B,MOUNT PROSPECT,IL,60056,DSH140091,PHS,PHS Contract Pharmacy
MARY BERRESFORD,72428,LEE MEM HEALTH SYSTEM FL,72428,LEE MEM HEALTH SYSTEM FL,771690,CAPE CRL HOSPITAL MPB,Active,SECONDARY,8545,8000|8545,BD4660470,636 DEL PRADO BLVD,CAPE CORAL,FL,33990,0,GPO,GPO Acct.
MARY BERRESFORD,72428,LEE MEM HEALTH SYSTEM FL,72428,LEE MEM HEALTH SYSTEM FL,771742,LEE MEMORIAL HOSPITAL,Active,SECONDARY,8545,8000|8545,AL0175732,2776 CLEVELAND AVE,FORT MYERS,FL,33901,0,GPO,GPO Acct.
KATY MCCASH,36320,LAMB HC CTR,36320,LAMB HC CTR,771789,LAMB HC CTR MPB,Active,SECONDARY,8545,8000|8545,BL2981531,1500 SOUTH SUNSET,LITTLEFIELD,TX,79339,0,GPO,GPO Acct.
MARY BERRESFORD,40015,ALEGENT,40165,COMM MEM HEALTHCARE KS,771864,COMMUNITY MEM HLTHCRE PHS,Active,SECONDARY,8545,8000|8545,AC1288186,708 N 18TH ST,MARYSVILLE,KS,66508,CAH171363-00,PHS,PHS/340B Acct
MARY BERRESFORD,72702,UNIV OF KANSAS,72702,UNIV OF KANSAS,772548,UNV KS HSP STHLKE PHS MPB,Active,SECONDARY,8545,8000|8545,FU7146067,"11300 CORPORATE AVE, STE 120",LENEXA,KS,66219,DSH170040,PHS,PHS/340B Acct
KATY MCCASH,40055,BAPTIST HEALTH SOUTH FLORIDA,40055,BAPTIST HEALTH SOUTH FLORIDA,772604,BPTST HS MIAMI WACA34 MPB,Active,SECONDARY,8545,8000|8545,AB0200826,8900 NORTH KENDALL DR,MIAMI,FL,33176,DSH100008,WAC,WAC Acct.
KATY MCCASH,35000,KAISER PERMANENTE CA,35000,KAISER PERMANENTE CA,772613,KAISER PERM PHCY #271 MPB,Active,SECONDARY,8545,8000|8545,FK7303530,"26877 TOURNEY RD, MOB-2, 1ST FLR",SANTA CLARITA,CA,91355,0,GPO,GPO Acct.
MARY BERRESFORD,180,UNIVERSITY OF ARKANSAS AR,180,UNIVERSITY OF ARKANSAS AR,772639,WLGR15438/UNIV AR PHS MPB,Active,SECONDARY,8545,8000,FO1120500,41460 HAGGERTY CIRCLE SOUTH,CANTON,MI,48188,DSH040016,PHS,PHS Contract Pharmacy
MARY BERRESFORD,180,UNIVERSITY OF ARKANSAS AR,180,UNIVERSITY OF ARKANSAS AR,772641,WLGR16287/UNIV AR PHS MPB,Active,SECONDARY,8545,8000|8545,BF8715661,130 ENTERPRISE DRIVE,PITTSBURGH,PA,15275,DSH040016,PHS,PHS Contract Pharmacy
MARY BERRESFORD,72847,OH STATE UNIVERSITY MED CTR,72847,OH STATE UNIVERSITY MED CTR,772724,OH STATE UMC GPO MPB,Active,SECONDARY,8545,8000|8545,AO5603724,460 W. 10TH AVE  RM D120,COLUMBUS,OH,43210,0,GPO,GPO Acct.
MARY BERRESFORD,40062,BATON ROUGE GEN MED CTR LA,40062,BATON ROUGE GEN MED CTR LA,772794,BATON ROUGE MC PHS MPB,Active,SECONDARY,8545,8000|8545,BB4030463,8585 PICARDY AVENUE,BATON ROUGE,LA,70809,DSH190065,PHS,PHS/340B Acct
MARY BERRESFORD,40062,BATON ROUGE GEN MED CTR LA,40062,BATON ROUGE GEN MED CTR LA,772797,BATON RGE MC WAC A34 MPB,Active,SECONDARY,8545,8000|8545,BB4030463,8585 PICARDY AVENUE,BATON ROUGE,LA,70809,DSH190065,WAC,WAC Acct.
BENNETT CORLEY,72478,MAYO CLINIC,72478,MAYO CLINIC,772811,MAYO CLNC AUSTIN GPO MPB,Active,SECONDARY,8545,8000|8545,FM3829756,1000 1ST DRIVE NW,AUSTIN,MN,55912,0,GPO,GPO Acct.
BENNETT CORLEY,40018,NORTHWELL HEALTH,40019,NORTHWELL HEALTH,772836,SOUTHSIDE HOSP PHS MPB,Active,SECONDARY,8545,8000|8545,FS7175272,301 E MAIN STREET,BAY SHORE,NY,11706,DSH330043,PHS,PHS/340B Acct
BENNETT CORLEY,72480,MD ISSUE,72493,HOUSTON METHODIST,772869,MTHDST WLWBRK HSP PHS MPB,Active,SECONDARY,8545,8000|8545,BM7047485,18220 TOMBALL PKWY HWY 249,HOUSTON,TX,77070,DSH450844,PHS,PHS/340B Acct
MARY BERRESFORD,932,UNIV OF NEW MEXICO HOSPITAL,932,UNIV OF NEW MEXICO HOSPITAL,772879,CYSTIC FIB SVC/NM PHS MPB,Active,SECONDARY,8545,8000|8545,FC6609107,"10530 JOHN W ELLIOTT DR, STE 200",FRISCO,TX,75033,DSH320001,PHS,PHS/340B Acct
MARY BERRESFORD,40410,MED CTR   BOWLING GREEN,40410,MED CTR   BOWLING GREEN,772899,THE MED CTR BG PHS MPB,Active,SECONDARY,8545,8000|8545,AB3009405,250 PARK ST,BOWLING GREEN,KY,42101,DSH180013,PHS,PHS/340B Acct
MARY BERRESFORD,72737,MILE BLUFF MED CTR WI,1643,MILE BLUFF MED CTR WI (PHS),772911,MILE BLUFF MC PHS MPB,Active,SECONDARY,8545,8000|8545,AH9629063,1050 DIVISION ST,MAUSTON,WI,53948,SCH520109-00,PHS,PHS/340B Acct
KATY MCCASH,35000,KAISER PERMANENTE CA,35000,KAISER PERMANENTE CA,772958,KAISER PERM PHY #889 MPB,Active,SECONDARY,8545,8000|8545,FK7379654,"4949 MARKET ST, 1ST FLR",VENTURA,CA,93003,0,GPO,GPO Acct.
KATY MCCASH,629,TRINITY HEALTH,629,TRINITY HEALTH,775226,CAREMARK FL SP/SAMRTN PHS,Active,SECONDARY,8545,8000|8545,FC0098916,7930 WOODLAND CTR STE 500,TAMPA,FL,33614,DSH330180,PHS,PHS Contract Pharmacy
KATY MCCASH,629,TRINITY HEALTH,629,TRINITY HEALTH,775242,CAREMARK MI SP/SAMRTN PHS,Active,SECONDARY,8545,8000|8545,FC0002802,1307-H ALLEN DR,TROY,MI,48083,DSH330180,PHS,PHS Contract Pharmacy
KATY MCCASH,629,TRINITY HEALTH,629,TRINITY HEALTH,775244,CAREMARK TN SP/SAMRTN PHS,Active,SECONDARY,8545,8000|8545,BC9505960,8370 WOLF LAKE DR STE 107,BARTLETT,TN,38133,DSH330180,PHS,PHS Contract Pharmacy
KATY MCCASH,629,TRINITY HEALTH,629,TRINITY HEALTH,775245,CAREMARK TX SP/SAMRTN PHS,Active,SECONDARY,8545,8000|8545,FC6963157,1001 SPINKS RD STE 280,FLOWER MOUND,TX,75028,DSH330180,PHS,PHS Contract Pharmacy
KATY MCCASH,629,TRINITY HEALTH,629,TRINITY HEALTH,775252,CAREMARK NV SP/SAMRTN PHS,Active,SECONDARY,8545,8000|8545,FC8994089,7251 SOUTH EASTERN AVE,LAS VEGAS,NV,89119,DSH330180,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72480,MD ISSUE,72506,TEXAS CHILDRENS HOSP,775253,CAREMRK TX SP/TX CHLD PHS,Active,SECONDARY,8545,8000|8545,FC6963157,1001 SPINKS RD STE 280,FLOWER MOUND,TX,75028,PED453304-00,PHS,PHS Contract Pharmacy
MARY BERRESFORD,2133,UNIV OF MISSISSIPPI MED CTR,2133,UNIV OF MISSISSIPPI MED CTR,775352,CAREPLS CVS2909/UM MC PHS,Active,SECONDARY,8545,8000|8545,BS6949119,1521 4TH AVE S,BIRMINGHAM,AL,35233,DSH250001,PHS,PHS Contract Pharmacy
KATY MCCASH,40260,HC PHARMACY,40260,HC PHARMACY,782975,DS MAGEE WOMENS HOSP PHS,Active,SECONDARY,8545,8000|8545,AM1682170,300 HALKET STREET,PITTSBURGH,PA,15213,DSH390114,PHS,PHS/340B Acct
MARY BERRESFORD,16,SOUTHERN OHIO MEDICAL CENTER,16,SOUTHERN OHIO MEDICAL CENTER,783238,SOMC WHLRBRG PHS MPB,Active,SECONDARY,8545,8000|8545,FS5691527,8770 OHIO RIVER ROAD,WHEELERSBURG,OH,45694,DSH360008E,PHS,PHS/340B Acct
BENNETT CORLEY,21230,CHRISTUS,2062,CHRISTUS HEALTH LA,783264,CHRISTUS SPHN WAC A34 MPB,Active,SECONDARY,8545,8000|8545,AS0930710,600 ELIZABETH ST,CORPUS CHRISTI,TX,78404,DSH450046,WAC,WAC Acct.
MARY BERRESFORD,72608,SANFORD MED CENTER SD,72608,SANFORD MED CENTER SD,783272,SANFORD MC TRF PHS MPB,Active,SECONDARY,8545,8000|8545,FS4872962,3001 SANFORD PARKWAY,THIEF RIVER FALLS,MN,56701,CAH241381-00,PHS,PHS/340B Acct
MARY BERRESFORD,30867,WILLIAM BACKUS HSP,30867,WILLIAM BACKUS HSP,783278,W BACKUS HSP MPB,Active,SECONDARY,8545,8000|8545,AT1556642,326 WASHINGTON ST,NORWICH,CT,6360,0,GPO,GPO Acct.
BENNETT CORLEY,40018,NORTHWELL HEALTH,40019,NORTHWELL HEALTH,783297,VIVO HTH LENOX HL PHS MPB,Active,SECONDARY,8545,8000|8545,FL7469201,100 E 77TH ST,NEW YORK,NY,10075,DSH330119,PHS,PHS/340B Acct
BENNETT CORLEY,72480,MD ISSUE,72506,TEXAS CHILDRENS HOSP,783303,TX CHLD HSP WDLND PHS MPB,Active,SECONDARY,8545,8000|8545,FT6634706,17600 INTERSTATE 45 SOUTH,THE WOODLANDS,TX,77384,PED453304-92,PHS,PHS/340B Acct
BENNETT CORLEY,72480,MD ISSUE,72506,TEXAS CHILDRENS HOSP,783307,TX CHLD WDLND WACA34 MPB,Active,SECONDARY,8545,8000|8545,FT6634706,17600 INTERSTATE 45 SOUTH,THE WOODLANDS,TX,77384,PED453304-92,WAC,WAC Acct.
BENNETT CORLEY,72821,NORTHERN ILLINOIS MC MCHENRY,72821,NORTHERN ILLINOIS MC MCHENRY,783315,KISHWAUKEE COM H MPB,Active,SECONDARY,8545,8000|8545,AK6784373,ONE KISH HOSPITAL DRIVE,DEKALB,IL,60115,0,GPO,GPO Acct.
MARY BERRESFORD,73304,UNIV OF ARKANSAS,73304,UNIV OF ARKANSAS,783380,UAMS OUTPT PHMCY PHS MPB,Active,SECONDARY,8545,8000|8545,AU3233917,"4301 W MARKHAM, SLOT 547-10",LITTLE ROCK,AR,72205,DSH040016,PHS,PHS/340B Acct
KATY MCCASH,21320,UNIV OKLA MED CTR,21320,UNIV OKLA MED CTR,783382,OU MED CTR PHMCY PHS MPB,Active,SECONDARY,8545,8000|8545,FO7414220,700 NE 13TH ST,OKLAHOMA CITY,OK,73104,DSH370093,PHS,PHS/340B Acct
KATY MCCASH,21320,UNIV OKLA MED CTR,21320,UNIV OKLA MED CTR,783383,OU MC PHMCY WACA34 MPB,Active,SECONDARY,8545,8000|8545,FO7414220,700 NE 13TH ST,OKLAHOMA CITY,OK,73104,DSH370093,WAC,WAC Acct.
MARY BERRESFORD,73304,UNIV OF ARKANSAS,73304,UNIV OF ARKANSAS,783397,UAMS MED CTR PHS MPB,Active,SECONDARY,8545,8000|8545,AK3349289,4301 WEST MARKHAM ST,LITTLE ROCK,AR,72205,DSH040016,PHS,PHS/340B Acct
MARY BERRESFORD,73304,UNIV OF ARKANSAS,73304,UNIV OF ARKANSAS,783398,UAMS MC WACA34 MPB,Active,SECONDARY,8545,8000|8545,AK3349289,4301 WEST MARKHAM ST,LITTLE ROCK,AR,72205,DSH040016,WAC,WAC Acct.
BENNETT CORLEY,314,HIGHLAND ROCHESTER STRONGS,314,HIGHLAND ROCHESTER STRONGS,783428,STRONG MEM HOSP PHS MPB,Active,SECONDARY,8545,8000|8545,FS6636318,155 BELLWOOD DRIVE,ROCHESTER,NY,14606,DSH330285,PHS,PHS/340B Acct
KATY MCCASH,40260,HC PHARMACY,40260,HC PHARMACY,787064,DS UPMC HORIZON II FARR,Active,SECONDARY,8545,8000|8545,BS3202962,2200 MEMORIAL DRIVE,FARRELL,PA,16121,0,GPO,GPO Acct.
MARY BERRESFORD,1792,ST LUKES REG MED CTR ID,1792,ST LUKES REG MED CTR ID,787856,WALMART 2862/SLRMC    PHS,Active,SECONDARY,8545,8000|8545,BW7128564,4051 E. FAIRVIEW AVE,MERIDIAN,ID,83642,DSH130006,PHS,PHS Contract Pharmacy
KATY MCCASH,40025,APPALACHIAN NORTON,2932,APPALACHIAN REG HLTH KY,788523,ARH OUR LADY OFTHEWAY PHS,Active,SECONDARY,8545,8000|8545,FA7706560,11203 MAIN STREET,MARTIN,KY,41649,CAH181305-00,PHS,PHS/340B Acct
MARY BERRESFORD,72729,ST ANTHONY REG HOSP IA,1882,ST ANTHONY REG HOSP IA (PHS),788767,ST ANTHONY REG HOSP MPB,Active,SECONDARY,8545,8000|8545,AS4034942,311 SOUTH CLARK STREET,CARROLL,IA,51401,0,GPO,GPO Acct.
BENNETT CORLEY,456,FLETCHER ALLEN HC VT,456,FLETCHER ALLEN HC VT,788787,CAREMARK KS SPC/UVMC  PHS,Active,SECONDARY,8545,8000|8545,BL7438941,11162 RENNER BLVD,LENEXA,KS,66219,DSH470003,PHS,PHS Contract Pharmacy
BENNETT CORLEY,456,FLETCHER ALLEN HC VT,456,FLETCHER ALLEN HC VT,788789,CAREMARK NJ SPC/UVMC  PHS,Active,SECONDARY,8545,8000|8545,FC0275304,180 PASSAIC AVE UNIT B-5,FAIRFIELD,NJ,7004,DSH470003,PHS,PHS Contract Pharmacy
BENNETT CORLEY,456,FLETCHER ALLEN HC VT,456,FLETCHER ALLEN HC VT,788791,CAREMARK IL SPC/UVMC  PHS,Active,SECONDARY,8545,8000|8545,FC0059736,800 BIERMANN CT STE B,MOUNT PROSPECT,IL,60056,DSH470003,PHS,PHS Contract Pharmacy
KATY MCCASH,1248,SKAGIT VALLEY HOSPITAL WA,1248,SKAGIT VALLEY HOSPITAL WA,789621,CAREPLUS CVS2926/SKAG PHS,Active,SECONDARY,8545,8000|8545,BS6932998,1001 MADISON ST,SEATTLE,WA,98104,DSH500003,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72480,MD ISSUE,72506,TEXAS CHILDRENS HOSP,790085,TEXAS CHILD HOSP WEST PHS,Active,SECONDARY,8545,8000|8545,FT2426624,18200 KATY FREEWAY WB 145,HOUSTON,TX,77094,PED453304-01,PHS,PHS/340B Acct
BENNETT CORLEY,72480,MD ISSUE,72506,TEXAS CHILDRENS HOSP,790087,TEXAS CHILD HOSP WOOD PHS,Active,SECONDARY,8545,8000|8545,FT6634706,17600 INTERSTATE 45 S,THE WOODLANDS,TX,77384,PED453304-101,PHS,PHS/340B Acct
KATY MCCASH,40025,APPALACHIAN NORTON,2932,APPALACHIAN REG HLTH KY,790159,ARH RETAIL PHARMACY,Active,SECONDARY,8545,8000|8545,FA0025723,4845 KY ROUTE 321,PRESTONSBURG,KY,41653,0,GPO,GPO Acct.
MARY BERRESFORD,21401,HEALTHTRUST CONTROL CHANNEL,21369,TENET HEALTHCARE,790893,DOCTORS MC OF MODESTO HCP,Active,SECONDARY,8545,8000,BD7850868,1441 FLORIDA AVENUE,MODESTO,CA,95350,0,GPO,GPO Acct.
MARY BERRESFORD,21401,HEALTHTRUST CONTROL CHANNEL,21369,TENET HEALTHCARE,791042,PRINCETON BAPTIST MC HCP,Active,SECONDARY,8545,8000,FB5621518,701 PRINCETON AVENUE SW,BIRMINGHAM,AL,35211,0,GPO,GPO Acct.
MARY BERRESFORD,21401,HEALTHTRUST CONTROL CHANNEL,21369,TENET HEALTHCARE,791253,NORTH CENTRAL BAPTIST HCP,Active,SECONDARY,8545,8000|8545,BV8166969,520 MADISON OAK DR,SAN ANTONIO,TX,78258,0,GPO,GPO Acct.
MARY BERRESFORD,40247,GRINNELL REGIONAL MED CTR,40247,GRINNELL REGIONAL MED CTR MPB,791565,GRINNELL REG MED CTR MPB,Active,SECONDARY,8545,8000|8545,AG4041113,210 4TH AVE,GRINNELL,IA,50112,0,GPO,GPO Acct.
BENNETT CORLEY,21230,CHRISTUS,2062,CHRISTUS HEALTH LA,791583,CHLD HSP SAN ANT PHS MPB,Active,SECONDARY,8545,8000|8545,AS0935289,333 NORTH SANTA ROSA STREET,SAN ANTONIO,TX,78207,PED453315-00,PHS,PHS/340B Acct
MARY BERRESFORD,348,COMP CARE CENTER,348,COMP CARE CENTER,791760,CAREMARK FL SP/CCHD21 PHS,Active,SECONDARY,8545,8000|8545,FC0098916,7930 WOODLAND CTR STE 500,TAMPA,FL,33614,STD34221,PHS,PHS Contract Pharmacy
MARY BERRESFORD,348,COMP CARE CENTER,348,COMP CARE CENTER,791768,CAREMARK NJ SP/CCHD21 PHS,Active,SECONDARY,8545,8000|8545,FC0275304,180 PASSAIC AVE,FAIRFIELD,NJ,7004,STD34221,PHS,PHS Contract Pharmacy
